upa_id,site_id,strip_id,point_id,stream,location,point_no,lat,lon,date,type.forest,type.color
PRIM,PRIMp,PRIMp_S,PRIMp_S1,Permanent,Stream,1,-9.37383997,-62.91778998,22/07/2016 22:41,P,P.Stream
PRIM,PRIMp,PRIMp_S,PRIMp_S2,Permanent,Stream,2,-9.37275007,-62.91839037,11/06/2016 09:48,P,P.Stream
PRIM,PRIMp,PRIMp_S,PRIMp_S3,Permanent,Stream,3,-9.37187433,-62.91912982,11/06/2016 10:12,P,P.Stream
PRIM,PRIMp,PRIMp_S,PRIMp_S4,Permanent,Stream,4,-9.37220349,-62.92027211,11/06/2016 12:54,P,P.Stream
PRIM,PRIMp,PRIMp_I,PRIMp_I4,Permanent,Interior,4,-9.37020063,-62.91840848,11/06/2016 12:21,P,P.Interior
PRIM,PRIMp,PRIMp_I,PRIMp_I3,Permanent,Interior,3,-9.37056667,-62.9173361,11/06/2016 11:06,P,P.Interior
PRIM,PRIMp,PRIMp_I,PRIMp_I2,Permanent,Interior,2,-9.37139036,-62.91651517,11/06/2016 11:31,P,P.Interior
PRIM,PRIMp,PRIMp_I,PRIMp_I1,Permanent,Interior,1,-9.37240206,-62.91606221,11/06/2016 11:55,P,P.Interior
UPA2,UPA2p,UPA2p_S,UPA2p_S1,Permanent,Stream,1,-9.38147966,-62.98837616,20/06/2016 10:10,U,U.Stream
UPA2,UPA2p,UPA2p_S,UPA2p_S2,Permanent,Stream,2,-9.38260443,-62.98821162,20/06/2016 10:46,U,U.Stream
UPA2,UPA2p,UPA2p_S,UPA2p_S3,Permanent,Stream,3,-9.38372349,-62.98791993,20/06/2016 11:42,U,U.Stream
UPA2,UPA2p,UPA2p_S,UPA2p_S4,Permanent,Stream,4,-9.38481054,-62.98787752,20/06/2016 12:01,U,U.Stream
UPA2,UPA2p,UPA2p_I,UPA2p_I4,Permanent,Interior,4,-9.38453017,-62.98555573,20/06/2016 13:12,U,U.Interior
UPA2,UPA2p,UPA2p_I,UPA2p_I3,Permanent,Interior,3,-9.38332812,-62.98547912,20/06/2016 13:48,U,U.Interior
UPA2,UPA2p,UPA2p_I,UPA2p_I2,Permanent,Interior,2,-9.38239505,-62.98599981,20/06/2016 14:37,U,U.Interior
UPA2,UPA2p,UPA2p_I,UPA2p_I1,Permanent,Interior,1,-9.38128696,-62.98608354,20/06/2016 15:23,U,U.Interior
UPA5,UPA5p,UPA5p_S,UPA5p_S4,Permanent,Stream,4,-9.40193016,-62.92617221,28/06/2016 10:56,U,U.Stream
UPA5,UPA5p,UPA5p_S,UPA5p_S3,Permanent,Stream,3,-9.40154719,-62.92512657,28/06/2016 11:42,U,U.Stream
UPA5,UPA5p,UPA5p_S,UPA5p_S2,Permanent,Stream,2,-9.40108367,-62.92398538,28/06/2016 12:28,U,U.Stream
UPA5,UPA5p,UPA5p_S,UPA5p_S1,Permanent,Stream,1,-9.40002311,-62.92346134,28/06/2016 13:10,U,U.Stream
UPA5,UPA5p,UPA5p_I,UPA5p_I1,Permanent,Interior,1,-9.40140679,-62.9217837,28/06/2016 14:38,U,U.Interior
UPA5,UPA5p,UPA5p_I,UPA5p_I2,Permanent,Interior,2,-9.40234322,-62.92221411,28/06/2016 14:51,U,U.Interior
UPA5,UPA5p,UPA5p_I,UPA5p_I3,Permanent,Interior,3,-9.40288436,-62.92323486,28/06/2016 15:16,U,U.Interior
UPA5,UPA5p,UPA5p_I,UPA5p_I4,Permanent,Interior,4,-9.40328677,-62.9242515,28/06/2016 15:55,U,U.Interior
UPA4,UPA4p,UPA4p_S,UPA4p_S2,Permanent,Stream,2,-9.37081251,-62.94485128,04/07/2016 09:55,U,U.Stream
UPA4,UPA4p,UPA4p_S,UPA4p_S1,Permanent,Stream,1,-9.37186847,-62.94436731,04/07/2016 10:53,U,U.Stream
UPA4,UPA4p,UPA4p_S,UPA4p_S3,Permanent,Stream,3,-9.36970434,-62.94521783,04/07/2016 11:53,U,U.Stream
UPA4,UPA4p,UPA4p_S,UPA4p_S4,Permanent,Stream,4,-9.36868116,-62.94559375,04/07/2016 13:06,U,U.Stream
UPA4,UPA4p,UPA4p_I,UPA4p_I4,Permanent,Interior,4,-9.36938608,-62.94761463,04/07/2016 13:47,U,U.Interior
UPA4,UPA4p,UPA4p_I,UPA4p_I3,Permanent,Interior,3,-9.37042619,-62.94739469,04/07/2016 15:34,U,U.Interior
UPA4,UPA4p,UPA4p_I,UPA4p_I2,Permanent,Interior,2,-9.37151173,-62.94698607,04/07/2016 15:44,U,U.Interior
UPA4,UPA4p,UPA4p_I,UPA4p_I1,Permanent,Interior,1,-9.37248462,-62.94654476,04/07/2016 15:57,U,U.Interior
PRIM,PRIMd,PRIMd_S,PRIMd_S4,Dry,Stream,4,-9.3989478,-63.04653559,10/07/2016 12:16,P,P.Stream
PRIM,PRIMd,PRIMd_S,PRIMd_S3,Dry,Stream,3,-9.39799159,-63.04594131,10/07/2016 12:40,P,P.Stream
PRIM,PRIMd,PRIMd_S,PRIMd_S2,Dry,Stream,2,-9.39752497,-63.04480204,10/07/2016 12:48,P,P.Stream
PRIM,PRIMd,PRIMd_S,PRIMd_S1,Dry,Stream,1,-9.39720595,-63.04369102,10/07/2016 13:12,P,P.Stream
PRIM,PRIMd,PRIMd_I,PRIMd_I1,Dry,Interior,1,-9.39920328,-63.04246483,10/07/2016 14:02,P,P.Interior
PRIM,PRIMd,PRIMd_I,PRIMd_I2,Dry,Interior,2,-9.39945088,-63.04363243,10/07/2016 14:35,P,P.Interior
PRIM,PRIMd,PRIMd_I,PRIMd_I3,Dry,Interior,3,-9.39987986,-63.04464706,10/07/2016 15:04,P,P.Interior
PRIM,PRIMd,PRIMd_I,PRIMd_I4,Dry,Interior,4,-9.40098418,-63.04519641,10/07/2016 15:44,P,P.Interior
UPA2,UPA2d,UPA2d_S,UPA2d_S1,Dry,Stream,1,-9.39036691,-62.97327264,14/07/2016 09:49,U,U.Stream
UPA2,UPA2d,UPA2d_S,UPA2d_S2,Dry,Stream,2,-9.39055273,-62.97448894,14/07/2016 10:19,U,U.Stream
UPA2,UPA2d,UPA2d_S,UPA2d_S3,Dry,Stream,3,-9.39104944,-62.97551623,14/07/2016 10:37,U,U.Stream
UPA2,UPA2d,UPA2d_S,UPA2d_S4,Dry,Stream,4,-9.39123544,-62.97664083,14/07/2016 10:58,U,U.Stream
UPA2,UPA2d,UPA2d_I,UPA2d_I4,Dry,Interior,4,-9.39341121,-62.9759769,14/07/2016 12:01,U,U.Interior
UPA2,UPA2d,UPA2d_I,UPA2d_I3,Dry,Interior,3,-9.39315666,-62.97481466,14/07/2016 12:33,U,U.Interior
UPA2,UPA2d,UPA2d_I,UPA2d_I2,Dry,Interior,2,-9.39256892,-62.97373381,14/07/2016 13:20,U,U.Interior
UPA2,UPA2d,UPA2d_I,UPA2d_I1,Dry,Interior,1,-9.3924706,-62.97264651,14/07/2016 14:07,U,U.Interior
UPA4,UPA4d,UPA4d_I,UPA4d_I1,Dry,Interior,1,-9.36254662,-62.94000428,07/06/2016 13:49,U,U.Interior
UPA4,UPA4d,UPA4d_I,UPA4d_I2,Dry,Interior,2,-9.361607,-62.93947287,07/06/2016 13:39,U,U.Interior
UPA4,UPA4d,UPA4d_I,UPA4d_I3,Dry,Interior,3,-9.36093939,-62.93838071,07/06/2016 13:23,U,U.Interior
UPA4,UPA4d,UPA4d_I,UPA4d_I4,Dry,Interior,4,-9.35990782,-62.9377379,07/06/2016 12:38,U,U.Interior
UPA4,UPA4d,UPA4d_S,UPA4d_S1,Dry,Stream,1,-9.36408402,-62.93823637,07/06/2016 09:44,U,U.Stream
UPA4,UPA4d,UPA4d_S,UPA4d_S2,Dry,Stream,2,-9.36301508,-62.93775106,07/06/2016 10:11,U,U.Stream
UPA4,UPA4d,UPA4d_S,UPA4d_S3,Dry,Stream,3,-9.3624431,-62.93676049,07/06/2016 10:46,U,U.Stream
UPA4,UPA4d,UPA4d_S,UPA4d_S4,Dry,Stream,4,-9.36147776,-62.93613142,07/06/2016 11:24,U,U.Stream
UPA5,UPA5d,UPA5d_I,UPA5d_I1,Dry,Interior,1,-9.40191826,-62.94842256,09/06/2016 11:49,U,U.Interior
UPA5,UPA5d,UPA5d_I,UPA5d_I2,Dry,Interior,2,-9.40073406,-62.94839876,09/06/2016 11:30,U,U.Interior
UPA5,UPA5d,UPA5d_I,UPA5d_I3,Dry,Interior,3,-9.39956177,-62.94851485,09/06/2016 11:09,U,U.Interior
UPA5,UPA5d,UPA5d_I,UPA5d_I4,Dry,Interior,4,-9.39847841,-62.94866237,09/06/2016 10:54,U,U.Interior
UPA5,UPA5d,UPA5d_S,UPA5d_S1,Dry,Stream,1,-9.4017067,-62.94611184,09/06/2016 09:49,U,U.Stream
UPA5,UPA5d,UPA5d_S,UPA5d_S2,Dry,Stream,2,-9.40059283,-62.94613858,09/06/2016 09:58,U,U.Stream
UPA5,UPA5d,UPA5d_S,UPA5d_S3,Dry,Stream,3,-9.39956923,-62.94619432,09/06/2016 10:14,U,U.Stream
UPA5,UPA5d,UPA5d_S,UPA5d_S4,Dry,Stream,4,-9.39839484,-62.94634913,09/06/2016 10:34,U,U.Stream