point_code,site,stream,location,point_no,trap_no,trap_code,date,canopy_photo,canopy_cover,canopy_photo_date,understory_first,understory_last,understory1,understory2,understory3,understory4,max_canopy,mean_canopy,stream_width,channel_width,stream_depth,stream_date,tree_count,diam1,diam2,diam3,diam4,diam5,diam6,diam7,diam8,diam9,diam10,diam11,diam12,diam13,diam14,diam15,diam16,diam17,diam18,diam19,diam20,diam21,diam22,diam_sum,diam_mean,diam_median
PRIMd_S1,PRIMd,Dry,Stream,1,B,PRIMd_S1B,16/07/2016,4618,98.472,16/07/2016,7744,7748,NA,NA,NA,NA,26,12,4.55,NA,NA,16/07/2016,7,14,18.5,30.5,59,21,27,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209,29.9,27
PRIMd_S1,PRIMd,Dry,Stream,1,A,PRIMd_S1A,16/07/2016,4619,93.693,16/07/2016,7749,7753,NA,NA,NA,NA,22,15,4.07,NA,NA,16/07/2016,4,107.5,41,46.5,18.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,213.3,53.3,43.8
PRIMd_S1,PRIMd,Dry,Stream,1,C,PRIMd_S1C,16/07/2016,4620,98.829,16/07/2016,7754,7758,NA,NA,NA,NA,20,12,4.5,NA,NA,16/07/2016,4,19.8,15.6,107.5,26.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169.5,42.4,23.2
PRIMd_S2,PRIMd,Dry,Stream,2,B,PRIMd_S2B,16/07/2016,4621,98.858,16/07/2016,7759,7765,NA,NA,NA,NA,25,14,5.99,NA,NA,16/07/2016,4,24.2,32,48.5,44.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149.2,37.3,38.3
PRIMd_S2,PRIMd,Dry,Stream,2,A,PRIMd_S2A,16/07/2016,4623,95.843,16/07/2016,7766,7771,NA,NA,NA,NA,35,15,5.61,NA,NA,16/07/2016,5,18.5,38,78.5,76.5,25.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,237.3,47.5,38
PRIMd_S2,PRIMd,Dry,Stream,2,C,PRIMd_S2C,16/07/2016,4624,99.101,16/07/2016,7772,7775,NA,NA,NA,NA,24,14,4.83,NA,NA,16/07/2016,5,17.5,100,104,65,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,336.5,67.3,65
PRIMd_S3,PRIMd,Dry,Stream,3,B,PRIMd_S3B,16/07/2016,4626,98.222,16/07/2016,7776,7782,NA,NA,NA,NA,22,17,3.12,NA,NA,16/07/2016,11,38.5,17.6,13,14,11.1,17.6,31.2,9.5,13,35.5,54.5,35.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,290.7,24.2,17.6
PRIMd_S3,PRIMd,Dry,Stream,3,A,PRIMd_S3A,16/07/2016,4628,97.948,16/07/2016,7783,7786,NA,NA,NA,NA,20,16,2.62,NA,NA,16/07/2016,4,27.5,17,50.6,17.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112.4,28.1,22.4
PRIMd_S3,PRIMd,Dry,Stream,3,C,PRIMd_S3C,16/07/2016,4629,98.473,16/07/2016,7787,7790,NA,NA,NA,NA,34,18,7.96,NA,NA,16/07/2016,7,41.4,16,41.5,37.5,29.2,17.5,12.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196,28,29.2
PRIMd_S4,PRIMd,Dry,Stream,4,B,PRIMd_S4B,16/07/2016,4631,95.626,16/07/2016,7791,7795,NA,NA,NA,NA,42,16,2.14,NA,NA,16/07/2016,9,13,144.6,93,15,84,56.5,28.3,22.1,72.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,529,58.8,56.5
PRIMd_S4,PRIMd,Dry,Stream,4,A,PRIMd_S4A,16/07/2016,4633,97.528,16/07/2016,7796,7799,NA,NA,NA,NA,18,16,2.41,NA,NA,16/07/2016,11,28.5,80.5,30.2,48,23.6,21.1,52.6,52.5,24,34.5,30.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,425.7,38.7,30.2
PRIMd_S4,PRIMd,Dry,Stream,4,C,PRIMd_S4C,16/07/2016,4635,97.776,16/07/2016,7800,7803,NA,NA,NA,NA,20,14,1.57,NA,NA,16/07/2016,8,24,30.1,10.3,18.8,19.7,11.9,19.5,43.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.8,22.2,19.6
PRIMd_I4,PRIMd,Dry,Interior,4,B,PRIMd_I4B,16/07/2016,4638,95.153,16/07/2016,7804,7807,NA,NA,NA,NA,45,16,NA,NA,NA,NA,3,74.9,10.8,10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.4,32.1,10.8
PRIMd_I4,PRIMd,Dry,Interior,4,C,PRIMd_I4C,16/07/2016,4641,94.483,16/07/2016,7808,7811,NA,NA,NA,NA,45,12,NA,NA,NA,NA,10,21.7,70,27.5,16,23,43,24.5,18.5,34.9,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,290.6,29.1,23.8
PRIMd_I4,PRIMd,Dry,Interior,4,A,PRIMd_I4A,16/07/2016,4642,97.023,16/07/2016,7812,7815,NA,NA,NA,NA,24,12,NA,NA,NA,NA,12,20.5,27.5,11.8,41.1,14.1,15.8,28,48,14.7,28,20,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,292,24.3,21.5
PRIMd_I3,PRIMd,Dry,Interior,3,B,PRIMd_I3B,16/07/2016,4643,95.963,16/07/2016,7816,7819,NA,NA,NA,NA,35,16,NA,NA,NA,NA,6,85,10.9,13.9,26.1,14.7,82.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,233.1,38.9,20.4
PRIMd_I3,PRIMd,Dry,Interior,3,C,PRIMd_I3C,16/07/2016,4646,96.472,16/07/2016,7820,7823,NA,NA,NA,NA,40,18,NA,NA,NA,NA,3,217,12.5,137.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,367,122.3,137.5
PRIMd_I3,PRIMd,Dry,Interior,3,A,PRIMd_I3A,16/07/2016,4649,93.731,16/07/2016,7824,7827,NA,NA,NA,NA,35,18,NA,NA,NA,NA,9,19.6,62,15,19.5,93,43,22,19.5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,303.6,33.7,19.6
PRIMd_I2,PRIMd,Dry,Interior,2,B,PRIMd_I2B,16/07/2016,4651,92.448,16/07/2016,7828,7831,NA,NA,NA,NA,28,20,NA,NA,NA,NA,6,13,22.5,13.5,19.5,122,52.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,242.9,40.5,21
PRIMd_I2,PRIMd,Dry,Interior,2,C,PRIMd_I2C,16/07/2016,4652,95.703,16/07/2016,7832,7835,NA,NA,NA,NA,32,14,NA,NA,NA,NA,11,15,15,22,80,16,90,11.2,32.5,11.5,31.2,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,338.9,30.8,16
PRIMd_I2,PRIMd,Dry,Interior,2,A,PRIMd_I2A,16/07/2016,4653,95.942,16/07/2016,7836,7839,NA,NA,NA,NA,28,20,NA,NA,NA,NA,10,19.8,14.5,13.9,54.5,27,26.5,102.5,49,15,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,339.2,33.9,23.2
PRIMd_I1,PRIMd,Dry,Interior,1,B,PRIMd_I1B,16/07/2016,4654,96.052,16/07/2016,7840,7844,NA,NA,NA,NA,19,12,NA,NA,NA,NA,7,18.5,27.5,28.5,24.2,12.3,37.4,11.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159.7,22.8,24.2
PRIMd_I1,PRIMd,Dry,Interior,1,C,PRIMd_I1C,16/07/2016,4656,95.693,16/07/2016,7845,7849,NA,NA,NA,NA,18,13,NA,NA,NA,NA,11,12,24,10.6,37.3,29,46,129,25,13.5,22,13.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,361.8,32.9,24
PRIMd_I1,PRIMd,Dry,Interior,1,A,PRIMd_I1A,16/07/2016,4660,94.881,16/07/2016,7850,7854,NA,NA,NA,NA,28,14,NA,NA,NA,NA,6,20,29,43,26,22.1,116.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,256.6,42.8,27.5
UPA2p_S1,UPA2p,Permanent,Stream,1,B,UPA2p_S1B,20/07/2016,5161,98.755,20/07/2016,7859,7863,NA,NA,NA,NA,28,6,17.96,3.05,42.2,20/07/2016,13,18.8,21.1,37,16,26,65,10.2,10,12.7,28,26.5,33.2,19.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,324.1,24.9,21.1
UPA2p_S1,UPA2p,Permanent,Stream,1,A,UPA2p_S1A,20/07/2016,5164,93.388,20/07/2016,7864,7870,NA,NA,NA,NA,32,18,15.31,2.09,31.4,20/07/2016,14,44.6,76.8,10.4,19,16.5,17.6,13.7,45.5,12.5,90.3,30.2,12.4,16,37.6,NA,NA,NA,NA,NA,NA,NA,NA,443.1,31.7,18.3
UPA2p_S1,UPA2p,Permanent,Stream,1,C,UPA2p_S1C,20/07/2016,5165,98.22,20/07/2016,7871,7874,NA,NA,NA,NA,40,16,16.63,2.53,27.7,20/07/2016,15,11.1,22,169,46.5,30.4,60,25.6,16.6,28,40.2,35,19,23,19.5,55.2,NA,NA,NA,NA,NA,NA,NA,601.1,40.1,28
UPA2p_S2,UPA2p,Permanent,Stream,2,B,UPA2p_S2B,20/07/2016,5167,93.354,20/07/2016,7875,7879,NA,NA,NA,NA,42,16,6.58,3.53,32.1,20/07/2016,10,54.6,73.4,30.9,161,21,18.7,43.6,146.5,26.3,25.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,601.1,60.1,37.3
UPA2p_S2,UPA2p,Permanent,Stream,2,A,UPA2p_S2A,20/07/2016,5168,92.791,20/07/2016,7880,7884,NA,NA,NA,NA,40,12,6.48,3.53,34.8,20/07/2016,16,12.5,18.6,35.6,37.4,27.4,12,31.2,44.2,55.6,80.9,49.5,13.7,12.5,56.7,36.5,45.2,NA,NA,NA,NA,NA,NA,569.5,35.6,36.1
UPA2p_S2,UPA2p,Permanent,Stream,2,C,UPA2p_S2C,20/07/2016,5170,93.477,20/07/2016,7885,7889,NA,NA,NA,NA,42,12,9.49,3.06,34.5,20/07/2016,17,32.7,27.7,29,40.3,18,29.3,14.5,16.5,43.4,12,30.5,17.7,24.2,17,146.7,26.5,72.7,NA,NA,NA,NA,NA,598.7,35.2,27.7
UPA2p_S3,UPA2p,Permanent,Stream,3,B,UPA2p_S3B,20/07/2016,5171,95.536,20/07/2016,7890,7894,NA,NA,NA,NA,33,16,21.02,2.06,38.5,20/07/2016,15,26,16.6,13,29.1,18.2,35.3,40.5,13.6,14.6,25.4,141.5,49.7,14,79.5,53.2,NA,NA,NA,NA,NA,NA,NA,570.2,38,26
UPA2p_S3,UPA2p,Permanent,Stream,3,A,UPA2p_S3A,20/07/2016,5172,95.106,20/07/2016,7895,7898,NA,NA,NA,NA,42,18,6.56,2.32,35.3,20/07/2016,14,25.5,50,15.7,30,13.2,18.7,27.7,16.5,15,15.2,16.5,38.5,22.5,15.5,NA,NA,NA,NA,NA,NA,NA,NA,320.5,22.9,17.6
UPA2p_S3,UPA2p,Permanent,Stream,3,C,UPA2p_S3C,20/07/2016,5173,97.822,20/07/2016,7899,7902,NA,NA,NA,NA,38,16,8.8,2.29,50,20/07/2016,11,26.7,15.7,74.4,35.2,17.6,48.4,34.2,36.7,24.1,51.8,250.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,615.2,55.9,35.2
UPA2p_S4,UPA2p,Permanent,Stream,4,A,UPA2p_S4A,20/07/2016,5175,95.254,20/07/2016,7903,7905,NA,NA,NA,NA,24,16,10.36,2.83,24,20/07/2016,15,16,13,20.4,18.5,48.6,98.7,12.6,13.5,14.7,47.6,15,14.5,26.8,87,13.5,NA,NA,NA,NA,NA,NA,NA,460.4,30.7,16
UPA2p_S4,UPA2p,Permanent,Stream,4,C,UPA2p_S4C,20/07/2016,5176,97.018,20/07/2016,7906,7910,NA,NA,NA,NA,42,20,11.78,2.81,24.4,20/07/2016,14,78.5,95.5,30.6,20.5,39,25,42.3,77,18,90,16.6,54.2,15,18,NA,NA,NA,NA,NA,NA,NA,NA,620.2,44.3,34.8
UPA2p_S4,UPA2p,Permanent,Stream,4,B,UPA2p_S4B,20/07/2016,5177,98.301,20/07/2016,7911,7915,NA,NA,NA,NA,46,6,9.48,2.43,22.7,20/07/2016,15,15,32,12.5,18.6,31,133.4,54.3,14,25.5,15,16.7,30.1,19.6,18.3,28,NA,NA,NA,NA,NA,NA,NA,464,30.9,19.6
UPA2p_I4,UPA2p,Permanent,Interior,4,C,UPA2p_I4C,20/07/2016,5179,98.618,20/07/2016,7916,7919,NA,NA,NA,NA,18,14,NA,NA,NA,NA,4,30,46.7,30.8,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118.5,29.6,30.4
UPA2p_I4,UPA2p,Permanent,Interior,4,B,UPA2p_I4B,20/07/2016,5182,96.89,20/07/2016,7920,7923,NA,NA,NA,NA,18,14,NA,NA,NA,NA,7,24,24.2,90.6,18,19.2,70.7,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,268.7,38.4,24
UPA2p_I4,UPA2p,Permanent,Interior,4,A,UPA2p_I4A,20/07/2016,5185,97.215,20/07/2016,7924,7927,NA,NA,NA,NA,38,12,NA,NA,NA,NA,4,20.3,59,16,29.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124.5,31.1,24.8
UPA2p_I3,UPA2p,Permanent,Interior,3,C,UPA2p_I3C,20/07/2016,5188,97.905,20/07/2016,7928,7931,NA,NA,NA,NA,28,28,NA,NA,NA,NA,5,44,14,43.4,28,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155.4,31.1,28
UPA2p_I3,UPA2p,Permanent,Interior,3,B,UPA2p_I3B,20/07/2016,5191,98.886,20/07/2016,7932,7935,NA,NA,NA,NA,28,8,NA,NA,NA,NA,7,41,30.5,25.5,53.5,16,23,57.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,246.8,35.3,30.5
UPA2p_I3,UPA2p,Permanent,Interior,3,A,UPA2p_I3A,20/07/2016,5193,94.172,20/07/2016,7936,7939,NA,NA,NA,NA,45,32,NA,NA,NA,NA,9,133,15,28.5,23,27.6,22.5,28.3,107,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,405.9,45.1,27.6
UPA2p_I2,UPA2p,Permanent,Interior,2,B,UPA2p_I2B,20/07/2016,5194,97.58,20/07/2016,7940,7943,NA,NA,NA,NA,45,14,NA,NA,NA,NA,22,35.7,85.5,23,35,19,30.7,16,13,28,50,15,29,37.4,18.7,15,76.4,35.2,23,115,28.4,32.3,11.5,772.8,35.1,28.7
UPA2p_I2,UPA2p,Permanent,Interior,2,C,UPA2p_I2C,20/07/2016,5195,98.035,20/07/2016,7944,7948,NA,NA,NA,NA,24,14,NA,NA,NA,NA,11,22,21,49.5,25,29,16,13,22,27.5,45,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,286,26,22
UPA2p_I2,UPA2p,Permanent,Interior,2,A,UPA2p_I2A,20/07/2016,5197,97.726,20/07/2016,7949,7952,NA,NA,NA,NA,45,22,NA,NA,NA,NA,8,18,199,76,23.5,113,50.8,16.2,30.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,526.8,65.9,40.6
UPA2p_I1,UPA2p,Permanent,Interior,1,C,UPA2p_I1C,20/07/2016,5198,97.644,20/07/2016,7953,7956,NA,NA,NA,NA,16,14,NA,NA,NA,NA,11,30.6,24.3,30.6,15,30.5,70.1,23,34,24,20,46.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,348.6,31.7,30.5
UPA2p_I1,UPA2p,Permanent,Interior,1,A,UPA2p_I1A,20/07/2016,5199,98.059,20/07/2016,7957,7961,NA,NA,NA,NA,26,22,NA,NA,NA,NA,7,30.6,154,75,21,20,30.4,40.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,371.6,53.1,30.6
UPA2p_I1,UPA2p,Permanent,Interior,1,B,UPA2p_I1B,20/07/2016,5200,95.273,20/07/2016,7962,7965,NA,NA,NA,NA,24,22,NA,NA,NA,NA,7,40.6,16.5,22,29,60.5,35,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330.6,47.2,35
UPA5d_S1,UPA5d,Dry,Stream,1,A,UPA5d_S1A,20/07/2016,5201,96.434,20/07/2016,7966,7969,NA,NA,NA,NA,32,26,2.27,NA,NA,20/07/2016,7,57.5,16,116,19.7,90.2,26.5,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350.9,50.1,26.5
UPA5d_S1,UPA5d,Dry,Stream,1,B,UPA5d_S1B,20/07/2016,5202,94.603,20/07/2016,7970,7973,NA,NA,NA,NA,50,22,3.8,NA,NA,20/07/2016,7,37,15,66.6,24,25,22,14.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,203.9,29.1,24
UPA5d_S1,UPA5d,Dry,Stream,1,C,UPA5d_S1C,20/07/2016,5203,95.985,20/07/2016,7974,7978,NA,NA,NA,NA,42,22,4.52,NA,NA,20/07/2016,5,36,26,14,19,60.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155.5,31.1,26
UPA5d_S2,UPA5d,Dry,Stream,2,A,UPA5d_S2A,20/07/2016,5207,98.321,20/07/2016,7979,7982,NA,NA,NA,NA,17,15,5.6,NA,NA,20/07/2016,5,30.7,21,19,20,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119.7,23.9,21
UPA5d_S2,UPA5d,Dry,Stream,2,B,UPA5d_S2B,20/07/2016,5208,87.078,20/07/2016,7983,7987,NA,NA,NA,NA,NA,NA,5.3,NA,NA,20/07/2016,3,29,30.3,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.3,28.1,29
UPA5d_S2,UPA5d,Dry,Stream,2,C,UPA5d_S2C,20/07/2016,5211,94,20/07/2016,7988,7991,NA,NA,NA,NA,38,15,1.97,NA,NA,20/07/2016,8,32,70,14,20,120,77,173,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,523,65.4,51
UPA5d_S3,UPA5d,Dry,Stream,3,A,UPA5d_S3A,20/07/2016,5213,95.172,20/07/2016,7992,7995,NA,NA,NA,NA,45,18,2.46,NA,NA,20/07/2016,5,25,28,15,30.7,175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,273.7,54.7,28
UPA5d_S3,UPA5d,Dry,Stream,3,B,UPA5d_S3B,20/07/2016,5214,96.714,20/07/2016,7996,7999,NA,NA,NA,NA,50,33,4.99,NA,NA,20/07/2016,6,22,126,16,31.4,23,30.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,249.1,41.5,26.9
UPA5d_S3,UPA5d,Dry,Stream,3,C,UPA5d_S3C,20/07/2016,5217,97.932,20/07/2016,8000,8004,NA,NA,NA,NA,35,15,4.03,NA,NA,20/07/2016,8,109,21,20,49,51,18,23,80.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,371.9,46.5,36
UPA5d_S4,UPA5d,Dry,Stream,4,A,UPA5d_S4A,20/07/2016,5218,94.762,20/07/2016,8005,8008,NA,NA,NA,NA,45,10,4.37,NA,NA,20/07/2016,6,25.5,30.3,40.6,16,21,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167.4,27.9,27.9
UPA5d_S4,UPA5d,Dry,Stream,4,B,UPA5d_S4B,20/07/2016,5219,92.799,20/07/2016,8013,8012,NA,NA,NA,NA,25,15,3.52,NA,NA,20/07/2016,5,23,38,105,30.8,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225.8,45.2,30.8
UPA5d_S4,UPA5d,Dry,Stream,4,C,UPA5d_S4C,20/07/2016,5220,93.61,20/07/2016,8013,8016,NA,NA,NA,NA,40,28,4.3,NA,NA,20/07/2016,3,123,231,30.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,384.4,128.1,123
UPA5d_I4,UPA5d,Dry,Interior,4,C,UPA5d_I4C,20/07/2016,5221,97.107,20/07/2016,8017,8020,NA,NA,NA,NA,18,12,NA,NA,NA,NA,5,137,18,26,29,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,256,51.2,29
UPA5d_I4,UPA5d,Dry,Interior,4,B,UPA5d_I4B,20/07/2016,5224,96.366,20/07/2016,8021,8024,NA,NA,NA,NA,35,20,NA,NA,NA,NA,8,15,18,27,92,21,87,88,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,362,45.3,24
